Devices,,,,
1000,,,,
,,1412755 - Force,,
Frame,Sub Frame,Fx,Fy,Fz
,,N,N,N
108,0,0.669577,-15.3189,-589.826
108,1,0.709875,-15.3992,-589.7
108,2,0.744467,-15.4563,-589.537
108,3,0.773474,-15.4824,-589.35
109,0,0.794675,-15.4826,-589.161
109,1,0.806742,-15.4735,-589.002
109,2,0.812006,-15.473,-588.905
109,3,0.815684,-15.4889,-588.88
110,0,0.826252,-15.5172,-588.893
110,1,0.853199,-15.5479,-588.867
110,2,0.899098,-15.5733,-588.745
110,3,0.956659,-15.5919,-588.551
111,0,1.01537,-15.6052,-588.388
111,1,1.06506,-15.6122,-588.374
111,2,1.09381,-15.6109,-588.535
111,3,1.09822,-15.6022,-588.769
112,0,1.09667,-15.5881,-588.949
112,1,1.11406,-15.5666,-589.02
112,2,1.15601,-15.5306,-588.994
112,3,1.20777,-15.4773,-588.924
113,0,1.25032,-15.4108,-588.875
113,1,1.27725,-15.333,-588.898
113,2,1.29931,-15.2366,-589.003
113,3,1.3287,-15.1112,-589.174
114,0,1.36608,-14.9519,-589.401
114,1,1.40652,-14.7631,-589.684
114,2,1.44835,-14.5541,-589.993
114,3,1.49124,-14.3309,-590.26
115,0,1.52938,-14.0959,-590.414
115,1,1.55131,-13.8529,-590.438
115,2,1.5472,-13.6083,-590.373
115,3,1.51657,-13.372,-590.287
116,0,1.47167,-13.1554,-590.214
116,1,1.43173,-12.9635,-590.137
116,2,1.41136,-12.7891,-590.023
116,3,1.41286,-12.6192,-589.857
117,0,1.42656,-12.4451,-589.655
117,1,1.43947,-12.2653,-589.452
117,2,1.4441,-12.0813,-589.279
117,3,1.43705,-11.8944,-589.136
118,0,1.41528,-11.7053,-589.004
118,1,1.37883,-11.5159,-588.861
118,2,1.33515,-11.3281,-588.696
118,3,1.30032,-11.1388,-588.539
119,0,1.29004,-10.9409,-588.454
119,1,1.30283,-10.7301,-588.502
119,2,1.32153,-10.5126,-588.673
119,3,1.33334,-10.3056,-588.862
120,0,1.33974,-10.1244,-588.961
120,1,1.34926,-9.9652,-588.966
120,2,1.36728,-9.8085,-588.954
120,3,1.39111,-9.64339,-588.999
121,0,1.40855,-9.4782,-589.113
121,1,1.40272,-9.32398,-589.265
121,2,1.36582,-9.18013,-589.402
121,3,1.30625,-9.04131,-589.455
122,0,1.23968,-8.90701,-589.37
122,1,1.17729,-8.78199,-589.151
122,2,1.1217,-8.67275,-588.849
122,3,1.07108,-8.58191,-588.516
123,0,1.02374,-8.50879,-588.165
123,1,0.978993,-8.45568,-587.791
123,2,0.938926,-8.4245,-587.423
123,3,0.908109,-8.40881,-587.116
124,0,0.890135,-8.39516,-586.916
124,1,0.883697,-8.36942,-586.839
124,2,0.879274,-8.32437,-586.893
124,3,0.8648,-8.26673,-587.05
125,0,0.8369,-8.21242,-587.239
125,1,0.800855,-8.17364,-587.371
125,2,0.761444,-8.15387,-587.385
125,3,0.718525,-8.1513,-587.282
126,0,0.669753,-8.16302,-587.124
126,1,0.61652,-8.18754,-586.997
126,2,0.565987,-8.22483,-586.962
126,3,0.523323,-8.27268,-587.029
